Table,OldName,NewName,Type,Required,Nullable,Auto,Default,Description
,SRVC_FLG,ServiceFlag,"""NUMBER(1,0)""",لا,نعم,لا,,علم يستخدم إن كان المستودع خدمي.
,AD_U_ID,AddedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,رقم المستخدم الذي أضاف السطر.
,AD_DATE,AddedDate,DATE,لا,نعم,لا,,تاريخ الإضافة.
,UP_U_ID,UpdatedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,رقم المستخدم الذي عدل السطر.
,UP_DATE,UpdatedDate,DATE,لا,نعم,لا,,تاريخ آخر تعديل.
,UP_CNT,UpdateCount,"""NUMBER(10,0)""",لا,نعم,لا,,عدد مرات التعديل.
,PR_REP,ReportPriority,"""NUMBER(10,0)""",لا,نعم,لا,,أولوية الظهور في التقارير.
,AD_TRMNL_NM,AddedTerminal,VARCHAR2(50),لا,نعم,لا,,اسم الجهاز عند الإضافة.
,UP_TRMNL_NM,UpdatedTerminal,VARCHAR2(50),لا,نعم,لا,,اسم الجهاز عند التعديل.
,LATITUDE,Latitude,VARCHAR2(100),لا,نعم,لا,,دائرة العرض للمستودع (إحداثيات).
,LONGITUDE,Longitude,VARCHAR2(100),لا,نعم,لا,,خط الطول للمستودع (إحداثيات).
,GLN_CODE,GLNCode,VARCHAR2(500),لا,نعم,لا,,رقم الموقع العالمي للمستودع.
,W_L_ADDRS,WarehouseAddress,VARCHAR2(1000),لا,نعم,لا,,العنوان المحلي بالتفصيل.
,W_F_ADDRS,WarehouseFAddress,VARCHAR2(1000),لا,نعم,لا,,العنوان الأجنبي بالتفصيل.
,SHO_WC_TYP,ShowWarehouseType,"""NUMBER(1,0)""",لا,نعم,لا,,نوع عرض المستودع.
,PJ_NO,ProjectNo,VARCHAR2(15),لا,نعم,لا,,رقم المشروع المرتبط.
,ACTV_NO,ActivityNoStr,VARCHAR2(15),لا,نعم,لا,,رقم النشاط (سلسلة).
,SO_DSC,SODescription,VARCHAR2(1000),لا,نعم,لا,,وصف خاص للمستودع.
,SO_TYPE,SOType,"""NUMBER(5,0)""",لا,نعم,لا,,نوع أمر البيع الافتراضي للمستودع.
,SC_NO,SCNo,"""NUMBER(3,0)""",لا,نعم,لا,,رقم سلسلة المستودع.
,BANK_NO,BankNo,"""NUMBER(10,0)""",لا,نعم,لا,,رقم البنك الافتراضي للمستودع.
,REP_CODE,ReportCode,VARCHAR2(15),لا,نعم,لا,,كود التقرير الخاص بالمستودع.
,COL_NO,CollectorNo,"""NUMBER(10,0)""",لا,نعم,لا,,رقم المحصل الافتراضي.
,C_CODE,CustomerCode,VARCHAR2(30),لا,نعم,لا,,كود العميل الافتراضي.
,CLC_TYP_NO_TAX,CalcTypeNoTax,"""NUMBER(5,0)""",لا,نعم,لا,,نوع الحساب الضريبي الافتراضي.
,C_GROUP_CODE,CustomerGroupCode,"""NUMBER(10,0)""",لا,نعم,لا,,كود مجموعة العملاء الافتراضية.
,SHO_SYS_TYP,ShowSystemType,"""NUMBER(2,0)""",لا,نعم,لا,,نوع النظام المعروض.
,USE_PRPRTN_FLG,UsePropFlag,"""NUMBER(1,0)""",لا,نعم,لا,,علم استخدام النسبية.
,USE_BIN_MOV,UseBinMovement,"""NUMBER(1,0)""",لا,نعم,لا,,استخدام تحريك المواقع (bins).
,WH_CST_LMT,WarehouseCostLimit,"""NUMBER(38,0)""",لا,نعم,لا,,الحد الأعلى لتكلفة المخزون.
,FOR_DMGD_ITM,ForDamagedItem,"""NUMBER(1,0)""",لا,نعم,لا,,مخصص للأصناف التالفة.
,WHG_CODE,WarehouseGroupCode,"""NUMBER(10,0)""",نعم,لا,لا,,رقم مجموعة المستودعات.
,WHG_A_NAME,WarehouseGroupName,VARCHAR2(100),نعم,لا,لا,,اسم المجموعة بالعربي.
,WHG_E_NAME,WarehouseGroupEName,VARCHAR2(100),لا,نعم,لا,,اسم المجموعة بالإنجليزي.
,AD_U_ID,AddedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,رقم المستخدم الذي أضاف المجموعة.
,AD_DATE,AddedDate,DATE,لا,نعم,لا,,تاريخ الإضافة.
,UP_U_ID,UpdatedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,رقم المستخدم الذي عدل المجموعة.
,UP_DATE,UpdatedDate,DATE,لا,نعم,لا,,تاريخ آخر تعديل.
,UP_CNT,UpdateCount,"""NUMBER(10,0)""",لا,نعم,لا,,عدد مرات التعديل.
,PR_REP,ReportPriority,"""NUMBER(10,0)""",لا,نعم,لا,,أولوية التقرير.
,AD_TRMNL_NM,AddedTerminal,VARCHAR2(50),لا,نعم,لا,,اسم الجهاز عند الإضافة.
,UP_TRMNL_NM,UpdatedTerminal,VARCHAR2(50),لا,نعم,لا,,اسم الجهاز عند التعديل.
,I_CODE,ItemCode,VARCHAR2(30),نعم,لا,لا,,كود الصنف الفريد.
,I_NAME,ItemName,VARCHAR2(100),نعم,لا,لا,,اسم الصنف بالعربي.
,I_E_NAME,ItemEName,VARCHAR2(100),لا,نعم,لا,,اسم الصنف بالإنجليزي.
,G_CODE,GroupCode,VARCHAR2(10),نعم,لا,لا,,كود مجموعة الصنف.
,GRP_CLASS_CODE,GroupClassCode,VARCHAR2(20),لا,نعم,لا,,كود تصنيف المجموعة التابع لها الصنف.
,MNG_CODE,ManagerCode,VARCHAR2(10),لا,نعم,لا,,كود المدير أو المسؤول عن الصنف.
,SUBG_CODE,SubGroupCode,VARCHAR2(10),لا,نعم,لا,,كود المجموعة الفرعية.
,ITEM_SIZE,ItemSize,NUMBER,لا,نعم,لا,,حجم الصنف (رقمي).
,ITEM_TYPE,ItemType,"""NUMBER(5,0)""",لا,نعم,لا,,نوع الصنف (خامة، منتج نهائي...).
,PRIMARY_COST,PrimaryCost,NUMBER,لا,نعم,لا,,تكلفة الشراء الأساسية.
,GRP_CODE,GroupCode,VARCHAR2(20),نعم,لا,لا,,كود المجموعة الرئيسي للأصناف.
,GRP_L_NAME,GroupLName,VARCHAR2(100),نعم,لا,لا,,اسم المجموعة بالعربي.
,GRP_F_NAME,GroupFName,VARCHAR2(100),لا,نعم,لا,,اسم المجموعة بالإنجليزي.
,GRP_CODE_PARENT,GroupCodeParent,VARCHAR2(20),لا,نعم,لا,,كود المجموعة الأب.
,AFFECTED_BY_TRANS,AffectedByTrans,"""NUMBER(1,0)""",لا,نعم,لا,,متأثر بالحركات (1=نعم).
,G_CODE,GCode,VARCHAR2(30),لا,نعم,لا,,كود المجموعة المرتبط.
,ACTIVITY_NO,ActivityNo,"""NUMBER(5,0)""",لا,نعم,لا,,رقم النشاط المرتبط.
,DFLT_PRC_PRCNT_FROM_PRIM_COST,PricePercentFromPrimary,NUMBER,لا,نعم,لا,,النسبة الافتراضية للسعر من التكلفة الأساسية.
,AD_U_ID,AddedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,المستخدم الذي أضاف السطر.
,AD_DATE,AddedDate,DATE,لا,نعم,لا,,تاريخ الإضافة.
,UP_U_ID,UpdatedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,المستخدم الذي عدل السطر.
,UP_DATE,UpdatedDate,DATE,لا,نعم,لا,,تاريخ آخر تعديل.
,UP_CNT,UpdateCount,"""NUMBER(10,0)""",لا,نعم,لا,,عدد مرات التعديل.
,PR_REP,ReportPriority,"""NUMBER(10,0)""",لا,نعم,لا,,أولوية التقرير.
,AD_TRMNL_NM,AddedTerminal,VARCHAR2(50),لا,نعم,لا,,اسم الجهاز عند الإضافة.
,UP_TRMNL_NM,UpdatedTerminal,VARCHAR2(50),لا,نعم,لا,,اسم الجهاز عند التعديل.
,GRP_CODE,GroupCode,VARCHAR2(20),نعم,لا,لا,,كود المجموعة الرئيسي للأصناف.
,GRP_CODE_TREE,GroupCodeTree,VARCHAR2(20),نعم,لا,لا,,كود تسلسل الشجرة للمجموعة.
,GRP_NAME,GroupName,VARCHAR2(60),نعم,لا,لا,,اسم المجموعة.
,GRP_LVL,GroupLevel,"""NUMBER(5,0)""",نعم,لا,لا,,مستوى المجموعة في الشجرة.
,UP_CNT,UpdateCount,"""NUMBER(10,0)""",لا,نعم,لا,,عدد مرات التعديل.
,PR_REP,ReportPriority,"""NUMBER(10,0)""",لا,نعم,لا,,أولوية التقرير.
,AD_TRMNL_NM,AddedTerminal,VARCHAR2(50),لا,نعم,لا,,اسم الجهاز عند الإضافة.
,UP_TRMNL_NM,UpdatedTerminal,VARCHAR2(50),لا,نعم,لا,,اسم الجهاز عند التعديل.
,ILEV_NO,ItemLevelNo,"""NUMBER(3,0)""",نعم,لا,لا,,رقم مستوى الصنف.
,FLG_VALUE,FlagValue,NUMBER,نعم,لا,لا,,قيمة العلم (تحدد الخاصية).
,FLG_CODE,FlagCode,VARCHAR2(30),لا,نعم,لا,,كود العلم.
,COMP_TYPE,CompType,NUMBER,لا,نعم,لا,,نوع المكون/الخاصية.
,ARG_TYPE,ArgType,"""NUMBER(2,0)""",لا,نعم,لا,,نوع البراميتر.
,FROM_AMT_PER,FromAmountPercent,NUMBER,لا,نعم,لا,,من نسبة المبلغ.
,TO_AMT_PER,ToAmountPercent,NUMBER,لا,نعم,لا,,إلى نسبة المبلغ.
,AD_U_ID,AddedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,المستخدم الذي أضاف السطر.
,AD_DATE,AddedDate,DATE,لا,نعم,لا,,تاريخ الإضافة.
,UP_U_ID,UpdatedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,المستخدم الذي عدل السطر.
,UP_DATE,UpdatedDate,DATE,لا,نعم,لا,,تاريخ آخر تعديل.
,UP_CNT,UpdateCount,"""NUMBER(10,0)""",لا,نعم,لا,,عدد مرات التعديل.
,PR_REP,ReportPriority,"""NUMBER(10,0)""",لا,نعم,لا,,أولوية التقرير.
,AD_TRMNL_NM,AddedTerminal,VARCHAR2(50),لا,نعم,لا,,اسم الجهاز عند الإضافة.
,UP_TRMNL_NM,UpdatedTerminal,VARCHAR2(50),لا,نعم,لا,,اسم الجهاز عند التعديل.
,FLG_VALUE,FlagValue,NUMBER,نعم,لا,لا,,قيمة العلم (تحدد الخاصية).
,DOC_NO,DocNo,"""NUMBER(15,0)""",نعم,لا,لا,,رقم المستند المرتبط.
,DOC_SER,DocSerial,"""NUMBER(38,0)""",نعم,لا,لا,,الرقم التسلسلي للمستند.
,USED,Used,"""NUMBER(1,0)""",لا,نعم,لا,,تم استخدام الخاصية أم لا.
,AD_U_ID,AddedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,المستخدم الذي أضاف السطر.
,AD_DATE,AddedDate,DATE,لا,نعم,لا,,تاريخ الإضافة.
,UP_U_ID,UpdatedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,المستخدم الذي عدل السطر.
,UP_DATE,UpdatedDate,DATE,لا,نعم,لا,,تاريخ آخر تعديل.
,UP_CNT,UpdateCount,"""NUMBER(10,0)""",لا,نعم,لا,,عدد مرات التعديل.
,MEASURE_CODE,MeasureCode,VARCHAR2(10),نعم,لا,لا,,كود وحدة القياس.
,MEASURE,Measure,VARCHAR2(30),نعم,لا,لا,,اسم وحدة القياس بالعربي.
,MEASURE_F_NM,MeasureFName,VARCHAR2(30),لا,نعم,لا,,اسم وحدة القياس بالإنجليزي.
,MEASURE_TYPE,MeasureType,"""NUMBER(1,0)""",لا,نعم,لا,,نوع وحدة القياس.
,MEASURE_WT_TYPE,MeasureWtType,"""NUMBER(2,0)""",لا,نعم,لا,,نوع الوزن إن وجدت.
,MEASURE_WT_CONN,MeasureWtConn,"""NUMBER(1,0)""",لا,نعم,لا,,علم ارتباط الوزن.
,DFLT_SIZE,DefaultSize,"""NUMBER(10,0)""",لا,نعم,لا,,الحجم الافتراضي.
,ALLOW_UPD,AllowUpdate,"""NUMBER(1,0)""",لا,نعم,لا,,السماح بالتعديل.
,AD_U_ID,AddedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,المستخدم الذي أضاف السطر.
,AD_DATE,AddedDate,DATE,لا,نعم,لا,,تاريخ الإضافة.
,UP_U_ID,UpdatedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,المستخدم الذي عدل السطر.
,UP_DATE,UpdatedDate,DATE,لا,نعم,لا,,تاريخ آخر تعديل.
,UP_CNT,UpdateCount,"""NUMBER(10,0)""",لا,نعم,لا,,عدد مرات التعديل.
,PR_REP,ReportPriority,"""NUMBER(10,0)""",لا,نعم,لا,,أولوية التقرير.
,AD_TRMNL_NM,AddedTerminal,VARCHAR2(50),لا,نعم,لا,,اسم الجهاز عند الإضافة.
,UP_TRMNL_NM,UpdatedTerminal,VARCHAR2(50),لا,نعم,لا,,اسم الجهاز عند التعديل.
,MEASURE_CODE_GB,MeasureCodeGB,VARCHAR2(10),لا,نعم,لا,,كود عام لوحدة القياس.
ItemBatch,I_CODE,ItemCode,VARCHAR2(30),نعم,لا,لا,,كود الصنف
ItemBatch,COL_NO1,ColNo1,"""NUMBER(1,0)""",لا,نعم,لا,,رقم العمود الأول التصنيفي
ItemBatch,BATCH_DESC_NO1,BatchDescNo1,VARCHAR2(15),لا,نعم,لا,,وصف تشغيلي/دفعة فرعية 1
ItemBatch,COL_NO2,ColNo2,"""NUMBER(1,0)""",لا,نعم,لا,,رقم العمود الثاني التصنيفي
ItemBatch,BATCH_DESC_NO2,BatchDescNo2,VARCHAR2(15),لا,نعم,لا,,وصف تشغيلي/دفعة فرعية 2
ItemBatch,COL_NO3,ColNo3,"""NUMBER(1,0)""",لا,نعم,لا,,رقم العمود الثالث التصنيفي
ItemBatch,BATCH_DESC_NO3,BatchDescNo3,VARCHAR2(15),لا,نعم,لا,,وصف تشغيلي/دفعة فرعية 3
ItemBatch,COL_NO4,ColNo4,"""NUMBER(1,0)""",لا,نعم,لا,,رقم العمود الرابع التصنيفي
ItemBatch,BATCH_DESC_NO4,BatchDescNo4,VARCHAR2(15),لا,نعم,لا,,وصف تشغيلي/دفعة فرعية 4
ItemBatch,COL_NO5,ColNo5,"""NUMBER(1,0)""",لا,نعم,لا,,رقم العمود الخامس التصنيفي
ItemBatch,BATCH_DESC_NO5,BatchDescNo5,VARCHAR2(15),لا,نعم,لا,,وصف تشغيلي/دفعة فرعية 5
ItemBatch,BATCH_NO,BatchNo,VARCHAR2(30),لا,نعم,لا,,رقم الدفعة/التشغيلة الرئيسي
ItemBatch,AD_U_ID,AddedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,رقم المستخدم الذي أضاف السطر
ItemBatch,AD_DATE,AddedDate,DATE,لا,نعم,لا,,تاريخ الإضافة
ItemBatch,UP_U_ID,UpdatedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,رقم المستخدم الذي عدل السطر
ItemBatch,UP_DATE,UpdatedDate,DATE,لا,نعم,لا,,تاريخ آخر تعديل
ItemBatch,CMP_NO,CompanyNo,"""NUMBER(3,0)""",نعم,لا,لا,,رقم الشركة
ItemBatch,BRN_NO,BranchNo,"""NUMBER(6,0)""",نعم,لا,لا,,رقم الفرع
ItemBatch,BRN_YEAR,BranchYear,"""NUMBER(4,0)""",لا,نعم,لا,,السنة المالية للفرع
ItemBatch,BRN_USR,BranchUser,"""NUMBER(3,0)""",لا,نعم,لا,,مستخدم الفرع
ItemBatch,PR_REP,ReportPriority,"""NUMBER(6,0)""",لا,نعم,لا,,أولوية التقرير
ItemBatch,UP_CNT,UpdateCount,"""NUMBER(10,0)""",لا,نعم,لا,,عدد مرات التعديل
ItemBatch,AD_TRMNL_NM,AddedTerminal,VARCHAR2(50),لا,نعم,لا,,اسم الجهاز عند الإضافة
ItemBatch,UP_TRMNL_NM,UpdatedTerminal,VARCHAR2(50),لا,نعم,لا,,اسم الجهاز عند التعديل
ItemBarcode,I_CODE,ItemCode,VARCHAR2(30),نعم,لا,لا,,كود الصنف
ItemBarcode,ITM_UNT,ItemUnit,VARCHAR2(10),نعم,لا,لا,,وحدة الصنف (مثلاً: علبة، كرتون)
ItemBarcode,P_SIZE,PackSize,NUMBER,نعم,لا,لا,,حجم العبوة
ItemBarcode,BARCODE,Barcode,VARCHAR2(30),لا,نعم,لا,,رقم/رمز الباركود
ItemBarcode,BATCH_NO,BatchNo,VARCHAR2(30),لا,نعم,لا,,رقم الدفعة المرتبط بالباركود
ItemBarcode,EXPIRE_DATE,ExpireDate,DATE,لا,نعم,لا,,تاريخ الانتهاء للباركود/الدفعة
ItemBarcode,NO_SALE,NoSale,"""NUMBER(1,0)""",لا,نعم,لا,,يمنع البيع بهذه الوحدة (1=نعم)
ItemBarcode,NO_PRINT,NoPrint,"""NUMBER(1,0)""",لا,نعم,لا,,يمنع طباعة الباركود (1=نعم)
ItemBarcode,FLEX_NO,FlexNo,NUMBER,لا,نعم,لا,,رقم مرن لتعريف إضافي
ItemBarcode,AD_U_ID,AddedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,رقم المستخدم الذي أضاف السطر
ItemBarcode,AD_DATE,AddedDate,DATE,لا,نعم,لا,,تاريخ الإضافة
ItemBarcode,UP_U_ID,UpdatedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,رقم المستخدم الذي عدل السطر
ItemBarcode,UP_DATE,UpdatedDate,DATE,لا,نعم,لا,,تاريخ آخر تعديل
ItemBarcode,UP_CNT,UpdateCount,"""NUMBER(10,0)""",لا,نعم,لا,,عدد مرات التعديل
ItemBarcode,PR_REP,ReportPriority,"""NUMBER(10,0)""",لا,نعم,لا,,أولوية التقرير
ItemBarcode,AD_TRMNL_NM,AddedTerminal,VARCHAR2(50),لا,نعم,لا,,الجهاز عند الإضافة
ItemBarcode,UP_TRMNL_NM,UpdatedTerminal,VARCHAR2(50),لا,نعم,لا,,الجهاز عند التعديل
ItemBarcode,DEAL_WITH_PRCHS_FLG,DealWithPurchaseFlag,"""NUMBER(1,0)""",لا,نعم,لا,,علم خاص بالتعامل مع المشتريات
ItemBarcode,BARCODE_L_DSC,BarcodeLDesc,VARCHAR2(250),لا,نعم,لا,,وصف طويل للباركود
ItemBarcode,BARCODE_F_DSC,BarcodeFDesc,VARCHAR2(250),لا,نعم,لا,,وصف أجنبي للباركود
ItemBarcode,MAIN_BARCODE,MainBarcode,"""NUMBER(1,0)""",لا,نعم,لا,,هل هو الباركود الرئيسي (1=نعم)
ItemPrice,LEV_NO,LevelNo,"""NUMBER(3,0)""",نعم,لا,لا,,رقم مستوى التسعير
ItemPrice,I_CODE,ItemCode,VARCHAR2(30),نعم,لا,لا,,كود الصنف
ItemPrice,ITM_UNT,ItemUnit,VARCHAR2(10),نعم,لا,لا,,وحدة الصنف
ItemPrice,P_SIZE,PackSize,NUMBER,لا,نعم,لا,,حجم العبوة
ItemPrice,W_CODE,WarehouseCode,"""NUMBER(10,0)""",لا,نعم,لا,,كود المستودع المرتبط بالسعر
ItemPrice,FROM_QTY,FromQty,"""NUMBER(15,0)""",لا,نعم,لا,,الكمية الابتدائية للسعر
ItemPrice,TO_QTY,ToQty,"""NUMBER(15,0)""",لا,نعم,لا,,الكمية النهائية للسعر
ItemPrice,I_PRICE,ItemPrice,"""NUMBER(24,9)""",نعم,لا,لا,,سعر الصنف
ItemPrice,IMP_XLS,ImportXLS,"""NUMBER(1,0)""",لا,نعم,لا,,علم الاستيراد من إكسل
ItemPrice,AD_U_ID,AddedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,المستخدم الذي أضاف السطر
ItemPrice,AD_DATE,AddedDate,DATE,لا,نعم,لا,,تاريخ الإضافة
ItemPrice,UP_U_ID,UpdatedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,المستخدم الذي عدل السطر
ItemPrice,UP_DATE,UpdatedDate,DATE,لا,نعم,لا,,تاريخ آخر تعديل
ItemPrice,BRN_NO,BranchNo,"""NUMBER(6,0)""",نعم,لا,لا,,رقم الفرع
ItemPrice,UP_CNT,UpdateCount,"""NUMBER(10,0)""",لا,نعم,لا,,عدد مرات التعديل
ItemPrice,PR_REP,ReportPriority,"""NUMBER(10,0)""",لا,نعم,لا,,أولوية التقرير
ItemPrice,AD_TRMNL_NM,AddedTerminal,VARCHAR2(50),لا,نعم,لا,,الجهاز عند الإضافة
ItemPrice,UP_TRMNL_NM,UpdatedTerminal,VARCHAR2(50),لا,نعم,لا,,الجهاز عند التعديل
ItemPrice,DCTR_PRICE,DoctorPrice,NUMBER,لا,نعم,لا,,سعر خاص للأطباء
ItemPrice,MIN_ITM_PRICE,MinItemPrice,NUMBER,لا,نعم,لا,,الحد الأدنى للسعر
ItemPrice,MAX_ITM_PRICE,MaxItemPrice,NUMBER,لا,نعم,لا,,الحد الأعلى للسعر
ItemPrice,EXPIRE_DATE,ExpireDate,DATE,نعم,لا,لا,,تاريخ انتهاء السعر
ItemPrice,BATCH_NO,BatchNo,VARCHAR2(30),نعم,لا,لا,,رقم الدفعة المرتبطة بالسعر
ItemPriceHistory,AUD_NO,AuditNo,"""NUMBER(38,0)""",نعم,لا,لا,,رقم السجل التاريخي
ItemPriceHistory,AUD_TYPE,AuditType,"""NUMBER(1,0)""",لا,نعم,لا,,نوع السجل (إضافة/تعديل)
ItemPriceHistory,LEV_NO,LevelNo,"""NUMBER(3,0)""",نعم,لا,لا,,رقم مستوى التسعير
ItemPriceHistory,I_CODE,ItemCode,VARCHAR2(30),نعم,لا,لا,,كود الصنف
ItemPriceHistory,ITM_UNT,ItemUnit,VARCHAR2(10),لا,نعم,لا,,وحدة الصنف
ItemPriceHistory,P_SIZE,PackSize,NUMBER,لا,نعم,لا,,حجم العبوة
ItemPriceHistory,W_CODE,WarehouseCode,"""NUMBER(10,0)""",لا,نعم,لا,,كود المستودع
ItemPriceHistory,FROM_QTY,FromQty,"""NUMBER(15,0)""",لا,نعم,لا,,الكمية من
ItemPriceHistory,TO_QTY,ToQty,"""NUMBER(15,0)""",لا,نعم,لا,,الكمية إلى
ItemPriceHistory,I_PRICE,ItemPrice,"""NUMBER(24,9)""",نعم,لا,لا,,سعر الصنف الجديد
ItemPriceHistory,PREV_I_PRICE,PrevItemPrice,NUMBER,لا,نعم,لا,,السعر السابق
ItemPriceHistory,AD_U_ID,AddedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,المستخدم الذي أضاف السطر
ItemPriceHistory,AD_DATE,AddedDate,DATE,لا,نعم,لا,,تاريخ الإضافة
ItemPriceHistory,UP_U_ID,UpdatedByUserId,"""NUMBER(5,0)""",لا,نعم,لا,,المستخدم الذي عدل السطر
ItemPriceHistory,UP_DATE,UpdatedDate,DATE,لا,نعم,لا,,تاريخ آخر تعديل
ItemPriceHistory,AUD_U_ID,AuditUserId,"""NUMBER(5,0)""",لا,نعم,لا,,المستخدم الذي راجع التعديل
ItemPriceHistory,AUD_DATE,AuditDate,DATE,لا,نعم,لا,,تاريخ التدقيق
ItemPriceHistory,DOC_NO,DocNo,"""NUMBER(38,0)""",لا,نعم,لا,,رقم المستند
ItemPriceHistory,DOC_DATE,DocDate,DATE,لا,نعم,لا,,تاريخ المستند
ItemPriceHistory,BRN_NO,BranchNo,"""NUMBER(6,0)""",نعم,لا,لا,,رقم الفرع
ItemPriceHistory,UP_CNT,UpdateCount,"""NUMBER(10,0)""",لا,نعم,لا,,عدد مرات التعديل
ItemPriceHistory,PR_REP,ReportPriority,"""NUMBER(10,0)""",لا,نعم,لا,,أولوية التقرير
ItemPriceHistory,AD_TRMNL_NM,AddedTerminal,VARCHAR2(50),لا,نعم,لا,,الجهاز عند الإضافة
ItemPriceHistory,UP_TRMNL_NM,UpdatedTerminal,VARCHAR2(50),لا,نعم,لا,,الجهاز عند التعديل
ItemPriceHistory,EXPIRE_DATE,ExpireDate,DATE,نعم,لا,لا,,تاريخ انتهاء السعر
ItemPriceHistory,BATCH_NO,BatchNo,VARCHAR2(30),نعم,لا,لا,,رقم الدفعة
ItemPriceHistory,MIN_ITM_PRICE,MinItemPrice,NUMBER,لا,نعم,لا,,الحد الأدنى للسعر الجديد
ItemPriceHistory,MAX_ITM_PRICE,MaxItemPrice,NUMBER,لا,نعم,لا,,الحد الأعلى للسعر الجديد
ItemPriceHistory,PREV_MAX_ITM_PRICE,PrevMaxItemPrice,NUMBER,لا,نعم,لا,,الحد الأعلى السابق للسعر
ItemPriceHistory,PREV_MIN_ITM_PRICE,PrevMinItemPrice,NUMBER,لا,نعم,لا,,الحد الأدنى السابق للسعر
PricingLevel,LEV_NO,LevelNo,"""NUMBER(3,0)""",نعم,لا,لا,,رقم مستوى التسعير.
PricingLevel,LEV_A_NAME,LevelAName,VARCHAR2(60),نعم,لا,لا,,اسم المستوى بالعربي.
